Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Surface Pro User Guide	**Surface Pro User Guide**\n\nPublished: April 30, 2013	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2909
Version 1.01 - Surface Pro User Guide	**Version 1.01**\n\nÂ© 2013 Microsoft. All rights reserved.\n\nBlueTrack Technology, ClearType, Excel, Hotmail, Internet Explorer, Microsoft, OneNote, Outlook, PowerPoint, SkyDrive, Windows, Xbox, and Xbox Live are registered trademarks of Microsoft Corporation.\n\nSurface, VaporMg, Skype, and Wedge are trademarks of Microsoft Corporation.\n\nBluetooth is a registered trademark of Bluetooth SIG, Inc.\n\nThis document is provided â€œas-is.â€ Information in this document, including URL and other Internet Web site references, may change without notice.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2910
Meet Surface Pro	**Meet Surface Pro**\n\n Surface Pro is a powerful PC in tablet form. \n\nYou can connect to a broad variety of accessories, printers, and networks, just like you always have.\n\nRun both new touch-friendly apps and your favorite Windows 7 programs. With the security and manageability you expect from a PC.	surface pro.xlsx	metadataname:surface pro	[{"ClusterHead":"bat in surface pro","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"bat in surface pro","AutoSuggestedCount":2,"UserSuggestedCount":0}]}]	False	[]	2911
About this guide	**About this guide**\n\nThis guide walks you through everything you need to know about Surface Pro.\n\nWhether you read this from beginning to end or jump all around, we hope you find this guide useful as you get to know Surface. As you read through this guide itâ€™s helpful to have your Surface handy so you can try things out.\n\nTo jump between sections using the Reader app:\n\n1.  Swipe down from the top of the screen, tap the More button (  ), and then tap Bookmarks.  âœªâœª\n\n2.  Tap a bookmark to jump to a section in this guide.\n\nTo search this guide using the Reader app:\n\n1.  Swipe down from the top of the screen, tap the Find button.\n\n2.  Type what you want to find and press Enter.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2912
Highlights - Meet Surface Pro	**Highlights**\n\n Real quick, here are some features of your Surface Pro:\n\n| Touchscreen | The touchscreen, with a 16:9 aspect ratio and full-HD display (1080p resolution) is great for watching HD movies, browsing the web, and using Office apps (sold separately). You can use your fingers to select, zoom, or move things around on the screen. |\n| --- | --- |\n| Keyboard covers | And touch isnâ€™t the only option. Choose from two unique keyboards that double as a protective cover. This way youâ€™ll always have a keyboard with you (sold separately). |\n| Digital pen | Take notes and mark up documents using the digital pen. |\n| Two cameras and a microphone | Two cameras and a microphone make it easy to make phone calls and record videos using your Surface. |\n| Wi-Fi and Bluetooth | Connect to a wireless network and use Bluetooth devices such as mice, printers, and headsets. |\n\n| Kickstand | Flip out the kickstand when you want to be productive or kick back and have some fun. |\n| --- | --- |\n| Stereo speakers, headset jack, and volume | Listen to music, conference calls, or audio books using apps from the Windows Store or Internet Explorer. |\n| Ports | Yes, Surface has ports. ï‚·  Full-size USB 3.0 port You can use USB accessoriesâ€”like a mouse, a printer, a 4G USB dongle, or an Ethernet adapterâ€”with your Surface. ï‚·  microSDXC card slot  Use the microSDXC card slot on the right edge to transfer files or for extra storage (currently up to 64 GB). ï‚·  Mini DisplayPort  Share whatâ€™s on your Surface by connecting it to an HDTV, monitor, or projector (video adapters required and sold separately). |	surface pro.xlsx	metadataname:surface pro	[{"ClusterHead":"bat in surface pro","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"bat in surface pro","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	2913
Touchscreen - Highlights	** Touchscreen**\nis The touchscreen, with a 16:9 aspect ratio and full-HD display (1080p resolution) is great for watching HD movies, browsing the web, and using Office apps (sold separately). You can use your fingers to select, zoom, or move things around on the screen.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2914
Keyboard covers - Highlights	** Keyboard covers**\nis And touch isnâ€™t the only option. Choose from two unique keyboards that double as a protective cover. This way youâ€™ll always have a keyboard with you (sold separately).	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2915
Digital pen - Highlights	** Digital pen**\nis Take notes and mark up documents using the digital pen.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2916
Two cameras and a microphone - Highlights	** Two cameras and a microphone**\nis Two cameras and a microphone make it easy to make phone calls and record videos using your Surface.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2917
Wi-Fi and Bluetooth - Highlights	** Wi-Fi and Bluetooth**\nis Connect to a wireless network and use Bluetooth devices such as mice, printers, and headsets.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2918
Kickstand - Highlights	** Kickstand**\nis Flip out the kickstand when you want to be productive or kick back and have some fun.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2919
Stereo speakers, headset jack, and volume - Highlights	** Stereo speakers, headset jack, and volume**\nis Listen to music, conference calls, or audio books using apps from the Windows Store or Internet Explorer.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2920
Ports - Highlights	** Ports**\nis Yes, Surface has ports. ï‚· Full-size USB 3.0 port  You can use USB accessoriesâ€”like a mouse, a printer, a 4G USB dongle, or an Ethernet adapterâ€”with your Surface.  ï‚· microSDXC card slot Use the microSDXC card slot on the right edge to transfer files or for extra storage (currently up to 64 GB). ï‚· Mini DisplayPort Share whatâ€™s on your Surface by connecting it to an HDTV, monitor, or projector (video adapters required and sold separately).	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2921
What is Windows 8 Pro?	**What is Windows 8 Pro?**\n\nSurface Pro come pre-installed with Windows 8 Pro, which is Windows 8 plus:\n\n*   Data protection with BitLocker and BitLocker To Go.\n\n*   Domain join, so you can connect to your corporate or school network.\n\n*   Remote Desktop Connection hosting, so you can connect to Surface Pro from another PC.	surface pro.xlsx	metadataname:surface pro	[{"ClusterHead":"bat in surface pro","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"bat in surface pro","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	2922
Surface accessories - Meet Surface Pro	**Surface accessories**\n\nAccessories add to your experience with Surface.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2923
Software - Highlights	**Software**\n\nAnd there are plenty of apps for work and play.\n\n*   Apps Surface Pro comes with a great collection of pre-installed apps, plus more from the Windows Store.\n\n*   Programs Run the programs youâ€™ve been using with Windows 7. Run the full Office suite and your specialized business programs.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2924
Keyboards - Surface accessories	**Keyboards**\n\nAdd a unique click-in keyboard that doubles as a cover. There are two types to choose from (sold separately):\n\n*   Touch Cover is a super-thin, pressure sensitive keyboard and trackpad. Express your personal style by choosing a color or design. To have a look at whatâ€™s available, see [Covers](http://www.microsoft.com/Surface/en-US/accessories/home#covers) on Surface.com.\n\n    *   Surface.com. 1  âœª\n\n*   Type Cover is a slim version of a traditional laptop keyboard with moving keys and trackpad buttons.\n\nBoth keyboards work with Surface Pro and Surface RT.\n\n Colors and designs vary by market.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2925
Video adapters - Surface accessories	**Video adapters**\n\nSurface video adapters let you connect your Surface to an HDTV, monitor, or projector (adapters are sold separately). âœª âœª\n\nLearn more about this in the Connect Surface to a TV, monitor, or projector section of this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2926
Power supply - Surface accessories	**Power supply**\n\nSurface Pro includes a 48-watt power supply with a USB charging port. âœª\n\nFor more info, see the Battery and power section in this guide.	surface pro.xlsx	metadataname:surface pro	[{"ClusterHead":"battery life of surface pro","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"battery life of surface pro","AutoSuggestedCount":1,"UserSuggestedCount":0}]},{"ClusterHead":"bat in surface pro","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"bat in surface pro","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	2927
Wedge Touch Mouse Surface Edition	**Wedge Touch Mouse Surface Edition**\n\nThis special edition Wedge Touch Mouse is small enough to fit in your pocket and wirelessly connects to your Surface using Bluetooth. âœª\n\nTo learn more, see [Wedge Touch Mouse Surface Edition](http://www.microsoft.com/Surface/en-US/accessories/home#mice) on Surface.com.\n\nTo find out how to connect this mouse to your Surface, see [Wedge Touch](http://www.microsoft.com/Surface/en-US/support/touch-mouse-and-search/wedge-mouse) [Mouse Surface Edition](http://www.microsoft.com/Surface/en-US/support/touch-mouse-and-search/wedge-mouse) at Surface.com.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2928
Ethernet adapter - Surface accessories	**Ethernet adapter**\n\nYou can use the Surface Ethernet adapter to connect your Surface Pro to a wired network using an Ethernet network cable. For more info about this, see Connect to a wired network in this guide. âœª\n\nTo learn more, see [Ethernet Adapter](http://www.microsoft.com/Surface/en-US/accessories/home#adapters) on Surface.com.\n\nFind out about all of the Surface accessories at [Surface.com/Accessories](http://www.microsoft.com/Surface/accessories/home) [.](http://www.microsoft.com/Surface/accessories/home)	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2929
Setup	**Setup**\n\nReady to set up Surface? Grab your Surface and letâ€™s go!\n\nNote Itâ€™s best to have a wireless network available when you set up Surface.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2930
Plug in and turn on	**Plug in and turn on**\n\nPlug in Surface and turn it on. Here's how:\n\n1.  If you have one, attach the Touch Cover or Type Cover keyboard to your Surface. When the keyboard gets close to Surface, it clicks into place.âœª\n\n2.  Flip out the kickstand on the back of Surface.\n\n3.  Plug the power cord into a wall outlet or power strip.\n\n4.  Connect the power cord on the lower right side of your Surface.âœªThe connector clicks into place (either direction works). The small light at the end of the connector means Surface is getting power.\n\n5.  Press and release the power button on the top right edge of your Surface.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2931
Surface setup - Setup	**Surface setup**\n\nSetup runs the first time you turn on Surface. During setup you'll be able to customize things like the language, color, and name for your Surface. You can change these things later if you'd like.\n\nTwo key things happen during setup:\n\n*   You connect to a wireless network.\n\n    *   Setup finds and displays the available wireless networks so that you can get online.\n\n*   You create a user account for Surface.\n\n    *   We recommended using a Microsoft accountâ€”an email address and password. When you sign in with a Microsoft account, your Surface lights up with content from Microsoft services such as SkyDrive, Hotmail, Messenger, and Xbox, as well as your contacts and calendar from your email account.\n\nAlready have a Microsoft account?  A Microsoft account (formerly known as a Windows Live ID) is the email address and password that you use to sign in to Microsoft services like Outlook.com, SkyDrive, Xbox, or your Windows Phone. If you've used these services, then you already have a Microsoft account.\n\nHave more than one Microsoft account? If you have more than one Microsoft account, youâ€™ll need to choose one to sign in with on your Surface. To help you figure out how to get down to just one Microsoft account, see [Choose a Microsoft account](http://go.microsoft.com/fwlink/p/?LinkID=279032) at WindowsPhone.com (English only).\n\nJoin a domain, workgroup, or homegroup Once setup is complete, you can join a network domain, workgroup, or homegroup. For info about how to do this, see the Networking section of this guide.\n\nTo learn more about local, domain, and Microsoft accounts, see the Accounts section in this guide.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2932
Lock screen and signing in	**Lock screen and signing in**\n\nWhen you turn on or wake Surface, you'll see the Windows lock screen. To dismiss the lock screen, press a key or swipe up from the bottom of the screen.\n\nNext you'll see the Windows sign-in screen. Here you'll sign in using the account you created during setup. For more info about signing in, see the Sign in topic in this guide.\n\nAfter you sign in to Windows, you'll see the Start screen. What is the Start screen? See the next section to find out.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2933
The basics	**The basics**\n\nThere are a few things you need to know to get around Windows 8.\n\nImportant  If you read nothing else in this guide, be sure and read this section and practice on your Surface.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2934
Start screen: Your favorite things	The Start button from previous versions of Windows has been replaced with the Start screen. Start is your new home base. This is where you open all your apps and programs. âœª\n\nEach tile on Start is connected to a person, app, website, playlist, or whatever else is important to you.\n\nWatch closely! This isn't a wall of static icons. The tiles animate with the latest informationâ€”such as status updates, new email messages, and appointmentsâ€”and you'll see live updates before you even open a single app.\n\nYou can pin as many tiles to Start as you want and move them where you want. Find out all about this in the Personalize your Surface section of this guide.\n\nTo go to the Start screen, do any of the following:	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2935
Touch - Start screen: Your favorite things	Press the Windows logo  on Surface, or swipe in from the right edge of the screen and then tap Start.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2936
Keyboard - Start screen: Your favorite things	Press the Windows logo  key on Touch Cover or Type Cover.\n\nâœª	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2937
Mouse or trackpad	Move the pointer into the lower-left corner. When Start appears, click in the corner.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2938
Charms, commands, and switching between apps	**Charms, commands, and switching between apps**\n\nWhen you swipe in from the different edges of the screen, different things happen.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2939
Right edge: Charms	**Right edge: Charms**\n\nSwipe in from the right edge of the screen to see the charms. Charms help you do the things you do most often, like search, share, print, and change settings.\n\nThe charms are always  available on the right side of your screenâ€”just swipe in to see them. âœª\n\nLearn more about the charms later in this  section.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2940
Top or bottom edge: App commands	**Top or bottom edge: App commands**\n\nSwipe up from the bottom or down from the top edge of the screen to see a bar of commands related to where you are and what youâ€™re doing. âœª\n\nFor example, if youâ€™re in an app youâ€™ll see commands for that app.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2941
Left edge: Switch apps	**Left edge: Switch apps**\n\nAnd finally, swipe in from the left edge of the screen to switch between open apps. For more info, see the Switch between apps topic in this guide.  âœª	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2942
Touch: tap, slide, and beyond	**Touch: tap, slide, and beyond**\n\nNow that you know about swiping in from the edge, here are some more things to know about touch:\n\n| What we say | How to do it | What it does |\n| --- | --- | --- |\n| Tap | Tap once on something. | Opens what you tap. |\n| Press and hold | Press and hold your finger on something for a couple seconds, and when a box appears let go. | Shows options related to what youâ€™re doing (the same as a right-click with a mouse). |\n| Slide to scroll | Drag your finger across the screen. | Scrolls through whatâ€™s on the screen. |\n| Pinch or stretch | Pinch your thumb and forefinger together or move them apart. | Zooms in or out of a website, map, or picture. |\n\n| What we say | How to do it | What it does |\n| --- | --- | --- |\n| Rotate | Put two or more fingers on an item and then turn your hand. | Rotates things that can be rotated. |\n| Slide to rearrange | Tap and drag an item to a new location, and then let go. | Moves an item, just like dragging with a mouse does. To learn how to rearrange tiles on Start, see Customize the Start screen section in this guide. |\n| Swipe to select | Slide an item a short distance, opposite to how the page scrolls. (For example, if the screen scrolls left to right, slide the item up or down.) A quick, short movement works best. | Selects an item, like an app tile or photo. Do this at the top or bottom of an app window to show app commands. |\n| Swipe from edge | Swipe in from the edge of the screen. | For info about this, see the previous topic. |\n\n*   How do I right-click using touch?\n\nThe equivalent of a right-click with your mouse is to press and hold your finger on something for a couple seconds, then let go and tap the option you want.\n\nTo try this out, try copying and pasting text using touch.	surface pro.xlsx	metadataname:surface pro	[]	False	[]	2943
